index,uuid,time_load,time_validate,check_is_valid,time_check_empty,check_is_complete_empty,time_check_full,check_is_complete_full
1,30342a31-d802-458a-b6e9-f3e7ea17210a,0.17244553565979004,0.30730223655700684,True,0.09343981742858887,False,0.6397182941436768,True
2,e32b89cb-da12-4ea3-9471-6a5ce5f1faa1,0.03524947166442871,0.28432369232177734,True,0.010122299194335938,False,0.6527810096740723,True
3,d12ccb98-9791-4688-97ee-ded60f9580eb,0.03438401222229004,0.29690074920654297,True,0.010241270065307617,False,0.6470727920532227,True
4,040980da-6fef-4b4b-9504-d7d5f4af9ce0,0.03468728065490723,0.3408315181732178,True,0.009559154510498047,False,0.6269822120666504,True
5,f8400796-ce7b-4f80-bd86-0a8ac853f002,0.03191423416137695,0.3287806510925293,True,0.010553359985351562,False,0.6264204978942871,True
6,fb872287-0ad2-46e4-9aae-6e9dcdab8231,0.03436708450317383,0.386214017868042,True,0.00885009765625,False,0.5482048988342285,True
7,71bdb266-3772-4dcb-9fff-147c9e10a078,0.041803598403930664,0.345508337020874,True,0.012998580932617188,False,0.5855870246887207,True
8,8825bbbe-2279-4171-8fc1-d302b5472af3,0.028334617614746094,0.3896830081939697,True,0.009254217147827148,False,0.5429260730743408,True
9,ccec42b1-8b6f-4f4f-a44f-2302b0e766bd,0.030526399612426758,0.3776113986968994,True,0.012503862380981445,False,0.5365786552429199,True
10,edb0d246-27ad-4c53-8943-10b1f8273efd,0.03897380828857422,0.3614363670349121,True,0.00964212417602539,False,0.5395793914794922,True
