index,uuid,time_load,time_validate,check_is_valid,time_check_empty,check_is_complete_empty,time_check_full,check_is_complete_full
1,30342a31-d802-458a-b6e9-f3e7ea17210a,0.1002037525177002,0.08746814727783203,True,0.18948006629943848,False,0.16606688499450684,True
2,e32b89cb-da12-4ea3-9471-6a5ce5f1faa1,0.012944936752319336,0.09811711311340332,True,0.008331537246704102,False,0.04215097427368164,True
3,d12ccb98-9791-4688-97ee-ded60f9580eb,0.014806032180786133,0.08699464797973633,True,0.009527444839477539,False,0.049239397048950195,True
4,040980da-6fef-4b4b-9504-d7d5f4af9ce0,0.012430429458618164,0.08147454261779785,True,0.007631778717041016,False,0.04314446449279785,True
5,f8400796-ce7b-4f80-bd86-0a8ac853f002,0.012233495712280273,0.09473299980163574,True,0.013550281524658203,False,0.04258084297180176,True
6,fb872287-0ad2-46e4-9aae-6e9dcdab8231,0.010954141616821289,0.08333325386047363,True,0.007409334182739258,False,0.04449868202209473,True
7,71bdb266-3772-4dcb-9fff-147c9e10a078,0.015753746032714844,0.09710574150085449,True,0.010094881057739258,False,0.04310917854309082,True
8,8825bbbe-2279-4171-8fc1-d302b5472af3,0.011387109756469727,0.10037636756896973,True,0.01053476333618164,False,0.04510807991027832,True
9,ccec42b1-8b6f-4f4f-a44f-2302b0e766bd,0.015839338302612305,0.10262894630432129,True,0.008215904235839844,False,0.03879070281982422,True
10,edb0d246-27ad-4c53-8943-10b1f8273efd,0.014757633209228516,0.09927153587341309,True,0.008519172668457031,False,0.05324506759643555,True
