index,uuid,time_load,time_validate,check_is_valid,time_check_empty,check_is_complete_empty,time_check_full,check_is_complete_full
1,30342a31-d802-458a-b6e9-f3e7ea17210a,0.09520530700683594,0.1685795783996582,True,0.08748483657836914,False,0.21342825889587402,True
2,e32b89cb-da12-4ea3-9471-6a5ce5f1faa1,0.016693830490112305,0.1420907974243164,True,0.009880781173706055,False,0.11595630645751953,True
3,d12ccb98-9791-4688-97ee-ded60f9580eb,0.01984882354736328,0.16758251190185547,True,0.007977008819580078,False,0.11412334442138672,True
4,040980da-6fef-4b4b-9504-d7d5f4af9ce0,0.015990734100341797,0.14235210418701172,True,0.012572526931762695,False,0.11240172386169434,True
5,f8400796-ce7b-4f80-bd86-0a8ac853f002,0.016950368881225586,0.14484047889709473,True,0.007998943328857422,False,0.11555933952331543,True
6,fb872287-0ad2-46e4-9aae-6e9dcdab8231,0.025928735733032227,0.1675403118133545,True,0.008095741271972656,False,0.10926985740661621,True
7,71bdb266-3772-4dcb-9fff-147c9e10a078,0.018239974975585938,0.1401066780090332,True,0.007101774215698242,False,0.1432185173034668,True
8,8825bbbe-2279-4171-8fc1-d302b5472af3,0.015332937240600586,0.14435100555419922,True,0.006964445114135742,False,0.11445069313049316,True
9,ccec42b1-8b6f-4f4f-a44f-2302b0e766bd,0.019027233123779297,0.15327048301696777,True,0.009792089462280273,False,0.13167357444763184,True
10,edb0d246-27ad-4c53-8943-10b1f8273efd,0.0200197696685791,0.17181897163391113,True,0.007374286651611328,False,0.12523198127746582,True
